iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,145,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,965,712,769.50","0.34","2,965,712,769.50","4,938,739.00","600.50","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","2,910,115,611.12","0.33","2,910,115,611.12","13,531,016.00","215.07","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","2,890,336,410.00","0.33","2,890,336,410.00","12,490,650.00","231.40","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","2,806,168,048.35","0.32","2,806,168,048.35","10,871,985.00","258.11","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,791,248,304.20","0.32","2,791,248,304.20","55,492,014.00","50.30","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,667,900,640.12","0.31","2,667,900,640.12","16,349,434.00","163.18","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","2,597,057,894.20","0.30","2,597,057,894.20","13,722,170.00","189.26","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","2,539,109,354.39","0.29","2,539,109,354.39","18,163,741.00","139.79","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,522,307,264.72","0.29","2,522,307,264.72","23,155,304.00","108.93","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","2,473,725,875.52","0.28","2,473,725,875.52","16,500,306.00","149.92","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,465,515,508.40","0.28","2,465,515,508.40","9,442,440.00","261.11","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,451,299,591.62","0.28","2,451,299,591.62","23,077,571.00","106.22","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","2,448,078,052.95","0.28","2,448,078,052.95","11,635,905.00","210.39","United States","NASDAQ","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,433,394,472.96","0.28","2,433,394,472.96","2,979,764.00","816.64","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","2,400,883,498.00","0.27","2,400,883,498.00","92,341,673.00","26.00","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","2,352,465,834.20","0.27","2,352,465,834.20","21,725,765.00","108.28","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","2,333,800,571.26","0.27","2,333,800,571.26","14,007,566.00","166.61","United States","NASDAQ","USD","1.00","USD","-"
